timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645421016458,4,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,790,203,1,1,http://localhost:8080/basket,4,0,1
1645421016470,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1814,253,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/item/564a5763-e372-414a-bfc3-d4a72032ae5b,3,0,0
1645421016479,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2828,253,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/item/c0cebe2d-a65d-4032-8616-f06d7b7876c1,3,0,0
1645421016488,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3855,253,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/item/ce3dc4dc-08d1-40c0-bd64-1953d329bfd3,3,0,0
1645421016491,3,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4475,997,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/checkout-data,3,0,0
1645421016494,3,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4739,338,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/payment,3,0,0
1645421016497,3,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4791,230,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/payment/initialize,3,0,0
1645421016500,3,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4855,227,1,1,http://localhost:8080/basket/6d915998-1560-48eb-a9a2-a0b4ae546a64/payment/execute,3,0,0
1645421016458,45,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread-Gruppe 1-1,,true,,28147,2754,1,1,null,25,0,1
1645421016503,1,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,797,203,1,1,http://localhost:8080/basket,1,0,0
1645421016505,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1829,253,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/item/7d22a585-9add-4851-b34c-1d0a79aacc18,3,0,0
1645421016508,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2794,253,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/item/237694a0-ff28-489b-a575-67741e900a81,3,0,0
1645421016511,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3811,253,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/item/1ed2fd42-66a4-4ef4-bab3-dddcd5439818,4,0,0
1645421016515,3,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4424,997,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/checkout-data,3,0,0
1645421016519,4,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4615,338,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/payment,4,0,0
1645421016524,9,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4695,230,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/payment/initialize,9,0,0
1645421016534,3,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4750,227,1,1,http://localhost:8080/basket/59723940-cf9a-4a7c-a80d-cced42b8c27b/payment/execute,3,0,0
1645421016503,35,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread-Gruppe 1-1,,true,,27715,2754,1,1,null,30,0,0
1645421016538,1,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,802,203,1,1,http://localhost:8080/basket,1,0,0
1645421016539,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1813,253,1,1,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/item/3bcccc90-08db-415e-9883-42b80e1a7fcf,3,0,0
1645421016542,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2833,253,1,1,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/item/0fcdab62-caa2-4df8-a3a8-3227f9f8a194,4,0,0
1645421016546,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3789,253,1,1,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/item/7bb0d99d-ce52-4d7d-a6c3-09a682cc0c26,3,0,0
1645421016549,3,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4414,997,1,1,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/checkout-data,2,0,0
1645421016552,2,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4651,338,1,1,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/payment,2,0,0
1645421016554,3,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4706,230,2,2,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/payment/initialize,3,0,0
1645421016557,5,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,797,203,2,2,http://localhost:8080/basket,5,0,1
1645421016557,8,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4712,227,2,2,http://localhost:8080/basket/37a0b7ee-d1c8-44bb-ac1c-ae56c49d589a/payment/execute,8,0,0
1645421016538,28,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread-Gruppe 1-1,,true,,27720,2754,2,2,null,26,0,0
1645421016563,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1821,253,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/item/d37f29d3-e62d-4f10-ad2b-298a3c91dcae,4,0,0
1645421016566,2,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,790,203,2,2,http://localhost:8080/basket,2,0,0
1645421016567,5,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,2838,253,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/item/b89ec8d2-32aa-4b35-9297-8ee72c205027,5,0,0
1645421016569,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1791,253,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/item/59bbb36d-3337-420e-84f2-b90a9d8fd996,6,0,0
1645421016572,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3802,253,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/item/517512b8-a890-418d-9d71-626d502b7e08,4,0,0
1645421016576,3,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4426,997,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/checkout-data,3,0,0
1645421016579,4,Add Payment,200,OK,Thread-Gruppe 1-2,text,true,,4677,338,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/payment,4,0,0
1645421016575,10,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2806,253,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/item/985c3b71-a67c-45fc-8f5a-168aa8de06bb,10,0,0
1645421016583,3,Initialize Payment,200,OK,Thread-Gruppe 1-2,text,true,,4725,230,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/payment/initialize,3,0,0
1645421016586,3,Execute Payment,200,OK,Thread-Gruppe 1-2,text,true,,4712,227,2,2,http://localhost:8080/basket/d5d9b19a-deb2-4910-a3bb-447dfe0e0b37/payment/execute,3,0,0
1645421016557,32,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread-Gruppe 1-2,,true,,27798,2754,2,2,null,31,0,1
1645421016586,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3848,253,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/item/17d80bb7-3820-42df-8adb-5e612c0f5346,4,0,0
1645421016590,1,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,797,203,2,2,http://localhost:8080/basket,1,0,0
1645421016590,5,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4430,997,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/checkout-data,5,0,0
1645421016592,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1799,253,2,2,http://localhost:8080/basket/69bbd5d9-bf27-48a8-b99b-3b7388f0eab0/item/5b1f3a3a-0861-4e92-9112-9b63bf7909db,6,0,0
1645421016595,4,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4673,338,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/payment,4,0,0
1645421016598,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,2831,253,2,2,http://localhost:8080/basket/69bbd5d9-bf27-48a8-b99b-3b7388f0eab0/item/ebbbace7-5669-4b93-aa8e-4606f322d1a2,4,0,0
1645421016599,4,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4736,230,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/payment/initialize,4,0,0
1645421016603,5,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4780,227,2,2,http://localhost:8080/basket/90860c35-2e4d-47fa-ba02-249c0d7b11ad/payment/execute,5,0,0
1645421016566,42,Transaction Controller,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread-Gruppe 1-1,,true,,27854,2754,2,2,null,40,0,0
1645421016609,1,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,796,203,2,2,http://localhost:8080/basket,1,0,0
1645421016603,8,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3894,253,2,2,http://localhost:8080/basket/69bbd5d9-bf27-48a8-b99b-3b7388f0eab0/item/a0e50bb6-0d3e-42a3-8da9-119b01b9f604,8,0,0
1645421016611,3,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1803,253,2,2,http://localhost:8080/basket/89a9e62a-dd1c-4ce6-9581-f1064e195c4c/item/d2f34ccf-8e51-447f-9efb-661b45116b83,3,0,0
1645421016611,3,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4431,997,2,2,http://localhost:8080/basket/69bbd5d9-bf27-48a8-b99b-3b7388f0eab0/checkout-data,3,0,0
1645421016615,4,Add Payment,200,OK,Thread-Gruppe 1-2,text,true,,4685,338,2,2,http://localhost:8080/basket/69bbd5d9-bf27-48a8-b99b-3b7388f0eab0/payment,4,0,0
