timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645423460584,4,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,797,203,1,1,http://localhost:8080/basket,4,0,1
1645423460592,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1822,253,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/item/4c8305c6-fa1f-4728-8d2f-af449f59170f,4,0,0
1645423460600,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2844,253,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/item/420c468c-a0a7-455f-93ec-274e812ddf20,4,0,0
1645423460609,5,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3786,253,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/item/a3e37fbb-fd1e-4208-a57a-d9f4ce3731cd,5,0,0
1645423460614,4,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4426,997,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/checkout-data,4,0,0
1645423460619,5,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4399,191,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713,4,0,0
1645423460624,3,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4405,191,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713,3,0,0
1645423460628,3,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4677,338,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/payment,3,0,0
1645423460632,4,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4728,230,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/payment/initialize,4,0,0
1645423460636,4,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4767,227,1,1,http://localhost:8080/basket/8a7cb800-0be0-4e1a-83d1-96b5fefb7713/payment/execute,4,0,0
1645423460584,56,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-1,,true,,36651,3136,1,1,null,39,0,1
1645423460641,2,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,797,203,1,1,http://localhost:8080/basket,2,0,0
1645423460644,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1820,253,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/item/cf7811d7-ac27-4798-ab86-13f11a3e5144,4,0,0
1645423460648,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2829,253,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/item/190a44f8-1eb2-425c-8253-512b098a9e82,4,0,0
1645423460653,4,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3797,253,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/item/43f20a3e-f704-4c83-b9c1-474ba40b2224,4,0,0
1645423460657,5,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4437,997,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/checkout-data,5,0,0
1645423460662,5,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4400,191,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201,5,0,0
1645423460667,2,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4389,191,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201,2,0,0
1645423460670,3,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4657,338,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/payment,3,0,0
1645423460673,5,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4641,230,1,1,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/payment/initialize,5,0,0
1645423460685,3,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,790,203,2,2,http://localhost:8080/basket,3,0,0
1645423460678,16,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4750,227,2,2,http://localhost:8080/basket/5e848587-7b89-4d92-8b1c-80342812d201/payment/execute,16,0,0
1645423460640,54,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-1,,true,,36517,3136,2,2,null,50,0,0
1645423460689,5,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1818,253,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/item/af69214b-e0c3-492b-ab36-b7ef1c396752,5,0,0
1645423460695,4,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,790,203,2,2,http://localhost:8080/basket,3,0,0
1645423460695,8,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,2834,253,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/item/9ac9fc69-302d-4d0a-be07-bfc3ae8a0ae4,8,0,0
1645423460699,7,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1819,253,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/item/4efa02d6-edc4-437c-b7f4-cc35dd000c30,7,0,0
1645423460703,5,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3851,253,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/item/9e0f719c-3a36-4138-b5f4-e4a49491c5bc,5,0,0
1645423460706,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2808,253,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/item/b160f4f7-eb63-4915-bc58-ab82da0f16a2,6,0,0
1645423460709,4,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4432,997,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/checkout-data,4,0,0
1645423460713,2,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4497,191,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0,2,0,0
1645423460716,2,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4479,191,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0,2,0,0
1645423460712,7,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3793,253,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/item/415c2c36-acdf-4856-b11c-084f37481837,7,0,0
1645423460718,4,Add Payment,200,OK,Thread-Gruppe 1-2,text,true,,4740,338,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/payment,4,0,0
1645423460720,4,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4418,997,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/checkout-data,4,0,0
1645423460724,2,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4367,191,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d,2,0,0
1645423460722,4,Initialize Payment,200,OK,Thread-Gruppe 1-2,text,true,,4770,230,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/payment/initialize,4,0,0
1645423460727,3,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4367,191,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d,3,0,0
1645423460727,4,Execute Payment,200,OK,Thread-Gruppe 1-2,text,true,,4846,227,2,2,http://localhost:8080/basket/237e4d7d-c248-4f9f-ae2b-c336c89ec4b0/payment/execute,4,0,0
1645423460684,48,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-2,,true,,37057,3136,2,2,null,41,0,0
1645423460732,2,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,802,203,2,2,http://localhost:8080/basket,2,0,0
1645423460730,5,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4610,338,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/payment,5,0,0
1645423460734,5,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1832,253,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/item/16a0b55a-83f8-401b-9ff1-9b5979aea8ad,5,0,0
1645423460736,4,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,4705,230,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/payment/initialize,4,0,0
1645423460740,5,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4716,227,2,2,http://localhost:8080/basket/021c4398-62f8-4548-be78-d0909eb1cd7d/payment/execute,5,0,0
1645423460694,51,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-1,,true,,36393,3136,2,2,null,46,0,0
1645423460740,7,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,2765,253,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/item/c84f0447-7296-49a1-943f-fa071a8c66e3,7,0,0
1645423460745,4,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,797,203,2,2,http://localhost:8080/basket,4,0,0
1645423460748,7,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3748,253,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/item/496c7da0-3a0e-4ffa-96df-bd5c8c587c4b,7,0,0
1645423460749,17,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,1813,253,2,2,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2/item/19aa650e-c6e7-4307-9ddf-632122b71410,17,0,0
1645423460756,10,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4360,997,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/checkout-data,10,0,0
1645423460767,3,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4435,191,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c,3,0,0
1645423460770,2,View Basket,200,OK,Thread-Gruppe 1-2,text,true,,4418,191,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c,2,0,0
1645423460766,11,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,2827,253,2,2,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2/item/689faba0-74db-474f-b4ad-517436f2befc,11,0,0
1645423460772,6,Add Payment,200,OK,Thread-Gruppe 1-2,text,true,,4603,338,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/payment,6,0,0
1645423460779,4,Initialize Payment,200,OK,Thread-Gruppe 1-2,text,true,,4733,230,2,2,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/payment/initialize,4,0,0
1645423460777,15,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-1,text,true,,3820,253,3,3,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2/item/6c875fdd-f9b3-4355-964c-1c6bb572850b,15,0,0
1645423460784,12,Execute Payment,200,OK,Thread-Gruppe 1-2,text,true,,4703,227,3,3,http://localhost:8080/basket/2fddd968-42b4-4687-a9b9-ec6c6239436c/payment/execute,12,0,0
1645423460732,64,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-2,,true,,36399,3136,3,3,null,58,0,0
1645423460785,13,Create Basket,201,Created,Thread-Gruppe 1-3,text,true,,790,203,3,3,http://localhost:8080/basket,13,0,0
1645423460793,6,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,4466,997,3,3,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2/checkout-data,5,0,0
1645423460797,3,Create Basket,201,Created,Thread-Gruppe 1-2,text,true,,790,203,3,3,http://localhost:8080/basket,3,0,0
1645423460799,4,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4484,191,3,3,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2,4,0,0
1645423460799,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-3,text,true,,1802,253,3,3,http://localhost:8080/basket/a89b7358-2758-4b39-b21a-7a3d446ef6f1/item/74f1362c-a280-482a-919d-8807fb4f0540,6,0,0
1645423460800,6,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,1800,253,3,3,http://localhost:8080/basket/0cf30c45-31ed-4014-95a9-c1dc0d1893a5/item/4b577b8e-a741-4411-bdf0-0f9fe4c1ac41,6,0,0
1645423460803,6,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4433,191,3,3,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2,5,0,0
1645423460807,8,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,2775,253,3,3,http://localhost:8080/basket/0cf30c45-31ed-4014-95a9-c1dc0d1893a5/item/2eac7c8e-b38f-400b-84b6-52d073f7c203,8,0,0
1645423460806,13,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-3,text,true,,2841,253,3,3,http://localhost:8080/basket/a89b7358-2758-4b39-b21a-7a3d446ef6f1/item/3a93c1ae-9804-4f06-8c20-38442eb84fc4,13,0,0
1645423460816,8,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-2,text,true,,3686,253,3,3,http://localhost:8080/basket/0cf30c45-31ed-4014-95a9-c1dc0d1893a5/item/25b83ddb-09bc-4809-9c38-fe31ff4788f6,8,0,0
1645423460819,8,Precondition: Create Basket Item,200,OK,Thread-Gruppe 1-3,text,true,,3794,253,3,3,http://localhost:8080/basket/a89b7358-2758-4b39-b21a-7a3d446ef6f1/item/348f2cb2-cb29-4cd9-917d-5a8362e931a1,8,0,0
1645423460809,19,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,4716,338,3,3,http://localhost:8080/basket/7fbc185c-d808-428f-a1e1-f967063d2dc2/payment,19,0,0
1645423460825,4,Set Checkout Data,200,OK,Thread-Gruppe 1-2,text,true,,4299,997,3,3,http://localhost:8080/basket/0cf30c45-31ed-4014-95a9-c1dc0d1893a5/checkout-data,4,0,0
